model,n,mae_mean,mae_sd_across_repeats,mae_p025_across_repeats,mae_p975_across_repeats,rmse_mean,rmse_sd_across_repeats,rmse_p025_across_repeats,rmse_p975_across_repeats,r2_mean,r2_sd_across_repeats,r2_p025_across_repeats,r2_p975_across_repeats,pearson_r_mean,pearson_r_sd_across_repeats,pearson_r_p025_across_repeats,pearson_r_p975_across_repeats
lesion_standard,209,16.43432923520043,0.2273088601536678,16.18779027879753,16.928951467955233,20.351221781850946,0.2556570370041064,20.062239641477042,20.900115241881366,0.45311271471746756,0.013836876953741877,0.42328361215632027,0.46861073063287323,0.6740503468516004,0.009623123683446729,0.6529388205358467,0.6847271151240685
lesion_plus_mass_effect,209,15.690928189178441,0.29056290026498877,15.340238777494907,16.25868220133974,19.580916714701583,0.2998342914153423,19.18963236340538,20.080817928716538,0.49369231762282706,0.015547727592535556,0.46762347674623955,0.5138333535857462,0.7028440863480675,0.010788379539487785,0.6851927984039508,0.7168288111295269
lesion_plus_hodge,209,16.542138529446614,0.24785141267394661,16.202414579489115,16.986528293434844,20.430935421901825,0.2791889578731928,20.022652417563577,20.909238301163196,0.4488049797991943,0.015097701077259818,0.4227925189920108,0.47070585675035,0.6715521831675975,0.010498264293693323,0.6523470669189351,0.6863410645697126
lesion_plus_mass_effect_plus_hodge,209,15.831077187863675,0.30645234747386707,15.479731099596755,16.422260542587036,19.64519579156167,0.30220331274994244,19.303886963832063,20.212321067931015,0.4903616602289569,0.015748736989202237,0.46063273422357714,0.5080268995163046,0.7005979274978793,0.010846535199670548,0.6805132545325612,0.7127756340088925
