model,n_subjects,mean_absolute_error,bootstrap_ci025,bootstrap_ci975,median_subject_absolute_error,subject_absolute_error_q25,subject_absolute_error_q75,bootstrap_samples
intercept_only,210,24.13804835600907,22.276873949829934,25.972814083049887,24.702068452380956,12.973379464285719,33.882580357142864,5000
clinical_only,210,24.22997214881134,22.361308696685455,25.9938840183457,24.87259000608286,12.608395980037326,33.99016501375281,5000
lesion_standard,210,16.42281359845223,14.86518325316064,18.089382896221448,14.006278662767464,7.72177729217905,21.728381773695475,5000
lesion_plus_mass_effect,210,15.609098432530608,14.094990521384588,17.173835085199357,13.854237043576468,6.514918759215727,22.615484423243245,5000
lesion_plus_uncertainty,210,15.710986121434049,14.079725546066667,17.376146937958175,13.370811404135393,6.473111893817493,20.721765040445142,5000
lesion_uncertainty_plus_mass_effect,210,15.289228390510635,13.759914804336487,16.850144673065813,13.628287655398381,5.875257805941614,21.192318107607232,5000
lesion_plus_hodge,210,16.54302207882319,14.942556264580134,18.225644869169532,14.076313065663417,7.71957612672288,22.52059259967684,5000
lesion_plus_mass_effect_plus_hodge,210,15.780297913446548,14.233213236168618,17.346753922966126,13.322474208890767,6.706978257899884,21.789870663681477,5000
