association,exposure,outcome,covariates,n_subjects,partial_spearman_rho,bootstrap_ci025,bootstrap_ci975,permutation_p_value,bootstrap_samples,permutations,permutation_p_value_holm
adjusted_magnitude_vs_aq,me_mass_effect_3_20mm_magnitude_mm_median,wab_aq,age_at_stroke;log1p_wab_days;lesion_volume_ml;left_language_lesion_ml;right_language_lesion_ml;lesion_laterality_index,210,-0.144640789252955,-0.2707579381861156,-0.012104489882433322,0.036392721455708855,5000,5000,0.18196360727854427
adjusted_absolute_radial_vs_aq,me_mass_effect_3_20mm_mean_absolute_radial_mm,wab_aq,age_at_stroke;log1p_wab_days;lesion_volume_ml;left_language_lesion_ml;right_language_lesion_ml;lesion_laterality_index,210,-0.11753849963021488,-0.24846560993071368,0.01959629354604881,0.08858228354329134,5000,5000,0.18196360727854427
adjusted_radial_direction_vs_aq,me_mass_effect_3_20mm_radial_mm_median,wab_aq,age_at_stroke;log1p_wab_days;lesion_volume_ml;left_language_lesion_ml;right_language_lesion_ml;lesion_laterality_index,210,-0.1518660255052705,-0.2815983258218299,-0.01552933488964998,0.024795040991801638,5000,5000,0.14877024595080984
adjusted_hodge_total_rms_vs_aq,hhd_total_rms_mm,wab_aq,age_at_stroke;log1p_wab_days;lesion_volume_ml;left_language_lesion_ml;right_language_lesion_ml;lesion_laterality_index,210,0.06945345794486882,-0.06423196909233626,0.20651812720786927,0.3153369326134773,5000,5000,0.3153369326134773
adjusted_hodge_curl_free_fraction_vs_aq,hhd_curl_free_energy_fraction,wab_aq,age_at_stroke;log1p_wab_days;lesion_volume_ml;left_language_lesion_ml;right_language_lesion_ml;lesion_laterality_index,210,-0.1305258413905171,-0.2723350417164687,0.023065155021422916,0.060187962407518496,5000,5000,0.18196360727854427
adjusted_hodge_divergence_free_fraction_vs_aq,hhd_divergence_free_energy_fraction,wab_aq,age_at_stroke;log1p_wab_days;lesion_volume_ml;left_language_lesion_ml;right_language_lesion_ml;lesion_laterality_index,210,0.1409577892207297,-0.010393706719211027,0.2798145331948691,0.041391721655668866,5000,5000,0.18196360727854427
