model,feature,mean,std,median,count
clinical_only,age_at_stroke,0.4048662996157553,0.6517007045411366,0.025798170169709433,100
clinical_only,log1p_wab_days,-0.6670690379542215,0.9116972020839914,-0.03924926627030223,100
lesion_plus_hodge,age_at_stroke,-3.5665655786901804,0.7839537479402733,-3.495470310170294,100
lesion_plus_hodge,hhd_curl_free_energy_fraction,6.40499154958401,5.645363495651958,5.019947394841189,100
lesion_plus_hodge,hhd_divergence_free_energy_fraction,7.975617836017527,5.283632253067864,6.734570941028417,100
lesion_plus_hodge,hhd_total_rms_mm,3.375197158146511,1.0743540225329582,3.4713663662675582,100
lesion_plus_hodge,left_language_lesion_ml,-5.819316814275546,1.0798235121323714,-5.891006385529571,100
lesion_plus_hodge,lesion_laterality_index,-1.8628998945777189,0.340831389557563,-1.9098335072571655,100
lesion_plus_hodge,lesion_volume_ml,-13.749063894564026,1.2911736791244477,-13.905122663438494,100
lesion_plus_hodge,log1p_wab_days,0.45925286440116736,0.8376381432353412,0.43047039452648245,100
lesion_plus_hodge,right_language_lesion_ml,-0.15139188735435175,0.7249293542035956,-0.37835680512026193,100
lesion_plus_mass_effect,age_at_stroke,-3.341634415728897,0.7052064485792966,-3.3612922169108685,100
lesion_plus_mass_effect,left_language_lesion_ml,-5.259149806334227,0.844342709184424,-5.168952052178797,100
lesion_plus_mass_effect,lesion_laterality_index,-1.2376758737096933,0.39141588326929483,-1.2876947038610727,100
lesion_plus_mass_effect,lesion_volume_ml,-9.183150687490862,1.3267259642013844,-9.12881839052207,100
lesion_plus_mass_effect,log1p_wab_days,1.1286914860298372,0.7509916515970313,1.1554780779450238,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_inward_integral_ml_mm,-3.545685630902386,1.0434276616044178,-3.587047809193084,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_logjac_compression_integral_ml,-4.8527443111767345,1.0334340943779732,-4.870248940430358,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_logjac_expansion_integral_ml,-1.1824803429036874,0.8316572977081994,-1.2233781060644577,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_magnitude_mm_median,-2.618989516255113,1.2803677248753647,-2.589186715466274,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_magnitude_mm_p95,5.901539153912365,1.4471729914856293,6.404314736326931,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_mean_absolute_radial_mm,0.14561423406619067,0.9152541330543122,0.0797339045309726,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_outward_integral_ml_mm,-2.9681611398685046,0.9148346422653865,-3.112658173921522,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_radial_mm_median,-3.8540442273772832,1.0689815065518469,-3.845475214011424,100
lesion_plus_mass_effect,right_language_lesion_ml,-0.8751568855180086,0.5078302076341945,-0.9237988361628495,100
lesion_plus_mass_effect_plus_hodge,age_at_stroke,-3.3945281523984345,0.7512042412001425,-3.4210309652395328,100
lesion_plus_mass_effect_plus_hodge,hhd_curl_free_energy_fraction,-0.014951209121183773,0.7543312634572702,-0.08778559891691139,100
lesion_plus_mass_effect_plus_hodge,hhd_divergence_free_energy_fraction,0.450526898221441,0.5800673803864976,0.39615729847400843,100
lesion_plus_mass_effect_plus_hodge,hhd_total_rms_mm,3.4738606579850257,0.7359036658725725,3.5319577633596264,100
lesion_plus_mass_effect_plus_hodge,left_language_lesion_ml,-5.121218839654758,0.7973803011564088,-5.090958852937853,100
lesion_plus_mass_effect_plus_hodge,lesion_laterality_index,-1.1025695115363119,0.4032306039597098,-1.148147031626657,100
lesion_plus_mass_effect_plus_hodge,lesion_volume_ml,-7.980006808048748,1.2562859475268549,-7.818889086049885,100
lesion_plus_mass_effect_plus_hodge,log1p_wab_days,0.9348182843033053,0.7431301795498004,0.9955899838368667,100
lesion_plus_mass_effect_plus_hodge,me_mass_effect_3_20mm_inward_integral_ml_mm,-2.8716746601803846,1.0189992873216023,-2.6342372942463705,100
lesion_plus_mass_effect_plus_hodge,me_mass_effect_3_20mm_logjac_compression_integral_ml,-3.832658909085706,0.7758698608659453,-3.832386182858682,100
lesion_plus_mass_effect_plus_hodge,me_mass_effect_3_20mm_logjac_expansion_integral_ml,-0.638768755205022,0.8554219706637696,-0.7352044653785277,100
lesion_plus_mass_effect_plus_hodge,me_mass_effect_3_20mm_magnitude_mm_median,-3.5178480552230784,1.4631322634410864,-3.171149634127975,100
lesion_plus_mass_effect_plus_hodge,me_mass_effect_3_20mm_magnitude_mm_p95,4.329754611349019,1.470907898668808,3.979504403272183,100
lesion_plus_mass_effect_plus_hodge,me_mass_effect_3_20mm_mean_absolute_radial_mm,-0.27500484803984304,0.7913945361903195,-0.39009369187311027,100
lesion_plus_mass_effect_plus_hodge,me_mass_effect_3_20mm_outward_integral_ml_mm,-2.945933451534691,0.7656090901827212,-2.937590625604267,100
lesion_plus_mass_effect_plus_hodge,me_mass_effect_3_20mm_radial_mm_median,-3.1610297500576854,0.9500597100741257,-2.9862353737672835,100
lesion_plus_mass_effect_plus_hodge,right_language_lesion_ml,-0.46761227726939386,0.5105674985578125,-0.5716518118779286,100
lesion_plus_uncertainty,age_at_stroke,-3.325157093687717,0.7413236526298168,-3.303096125796838,100
lesion_plus_uncertainty,left_language_lesion_ml,-4.912947201001618,1.262839438023223,-4.703235321409167,100
lesion_plus_uncertainty,lesion_laterality_index,-2.117458184985487,0.5296694892161063,-2.104580471751521,100
lesion_plus_uncertainty,lesion_volume_ml,-34.42430710793502,33.22677364244089,-32.15533291382639,100
lesion_plus_uncertainty,log1p_wab_days,0.8242128178155803,0.7398548609871015,0.8202948511262698,100
lesion_plus_uncertainty,right_language_lesion_ml,-0.005428031247586087,0.6271544628354202,-0.14993763185630515,100
lesion_plus_uncertainty,unc_boundary_mean_entropy,0.46598887166445147,0.5835026285341345,0.4554233255116114,100
lesion_plus_uncertainty,unc_candidate_mean_entropy,-3.4933121289203206,1.1833606623786468,-3.2172669526786537,100
lesion_plus_uncertainty,unc_entropy_mass_ml,424.54469174931813,490.3533137717096,224.9362038495707,100
lesion_plus_uncertainty,unc_expected_left_lesion_volume_ml,-352.94881232469737,333.909198341696,-371.85690675441947,100
