model,n,mae_mean,mae_sd_across_repeats,mae_p025_across_repeats,mae_p975_across_repeats,rmse_mean,rmse_sd_across_repeats,rmse_p025_across_repeats,rmse_p975_across_repeats,r2_mean,r2_sd_across_repeats,r2_p025_across_repeats,r2_p975_across_repeats,pearson_r_mean,pearson_r_sd_across_repeats,pearson_r_p025_across_repeats,pearson_r_p975_across_repeats
intercept_only,210,24.138048356009072,0.07756250429806706,24.04800510204082,24.29650901360544,27.680834102929374,0.08142288744591544,27.586208275995325,27.824717515728832,-0.008937665995927501,0.005939438322595304,-0.01944540338906543,-0.0020432064793850244,-0.1188155096077587,0.04318940744171997,-0.18591527444939682,-0.06017511859859159
clinical_only,210,24.229972148811342,0.09507782675729491,24.077923241124697,24.395052034717295,27.83346850334083,0.08548169423623934,27.689095963409017,27.957621898280717,-0.02009582942235306,0.006264003848639814,-0.029207419634888016,-0.009531731375280744,-0.1316363779074722,0.0360431366895501,-0.18182157189065604,-0.07041336803310541
lesion_standard,210,16.42281359845223,0.16950013122934424,16.177061542002306,16.69185694569477,20.359863760455436,0.2179707239909239,20.07267932846165,20.746581037098608,0.45411716082076314,0.011711355421221235,0.433243295749971,0.46946611915007314,0.6749367152511699,0.00793290330866848,0.6609239493622889,0.6853223395033204
lesion_plus_mass_effect,210,15.609098432530606,0.2340871524192078,15.291206482716632,16.04846929265222,19.551570275486092,0.28474694039932114,19.21008240965997,20.04068491223293,0.49655363493986,0.014716715153408964,0.4711530061878429,0.5140823831215158,0.7049585573097601,0.010254396242156759,0.6874858129822202,0.7171378758366947
lesion_plus_uncertainty,210,15.710986121434052,0.29302998868459046,15.179811842337372,16.180270437579182,20.10556569251006,0.4161847652094572,19.43494772945241,20.740156232722306,0.4675096219065781,0.022029715015532893,0.433595610257329,0.5026418072502211,0.6876200311661539,0.013467812347127918,0.6673159046282108,0.7094378893002911
lesion_uncertainty_plus_mass_effect,210,15.289228390510639,0.21390285427543873,14.957595188011801,15.758302513677549,19.284655406171517,0.2672523799126719,18.912911675052122,19.80712289203505,0.5102150723405875,0.013629604652166064,0.48339873184308507,0.5290016629484515,0.7146311514603705,0.009352213124141855,0.6957056652175926,0.7274125032911587
lesion_plus_hodge,210,16.543022078823192,0.21846493457183477,16.213987544349525,16.929921905048772,20.45005307454259,0.2823466977354104,20.03144612993704,20.913253244254513,0.44923042681386216,0.015234050783902482,0.4240922626010559,0.4716387646553531,0.6721213022816874,0.009798566188852099,0.6569787038725756,0.6870006312429364
lesion_plus_mass_effect_plus_hodge,210,15.78029791344655,0.20198543717661702,15.502713425022879,16.1640246508645,19.645762282921044,0.2348344187584353,19.31649922711216,20.00840189066403,0.49172454536606913,0.012158434556371332,0.4728569864991761,0.5086858590849631,0.7016144605354361,0.008523367845786903,0.6879485317786908,0.7134416489498834
