model,feature,mean,std,median,count
clinical_only,age_at_stroke,0.4048662996157553,0.6517007045411366,0.025798170169709433,100
clinical_only,log1p_wab_days,-0.6670690379542215,0.9116972020839914,-0.03924926627030223,100
lesion_plus_mass_effect,age_at_stroke,-2.641031781945735,0.7414697449938564,-2.5983950287216775,100
lesion_plus_mass_effect,left_language_lesion_ml,-6.034119694559365,0.852001038637058,-6.0768242292521215,100
lesion_plus_mass_effect,lesion_laterality_index,-1.1995743134751558,0.29999948123791076,-1.2083365860970412,100
lesion_plus_mass_effect,lesion_volume_ml,-11.45663901954615,1.8131805812296649,-11.338641449550316,100
lesion_plus_mass_effect,log1p_wab_days,1.5947423005773098,0.7628515938305649,1.621280678751686,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_inward_integral_ml_mm,1.5593450972982037,1.8058087072426456,1.2959957547402865,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_logjac_compression_integral_ml,-4.5616210868008285,1.2992861367658135,-4.495740045031396,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_logjac_expansion_integral_ml,-5.422172607844833,1.8768751368374927,-5.159012234250348,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_magnitude_mm_median,-0.6165419276443811,1.3645673539798104,-0.6036089903867966,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_magnitude_mm_p95,2.863169270161592,1.9480871622800384,2.464242331368318,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_mean_absolute_radial_mm,-1.4182602107909243,2.672919709366125,-0.8165032962956504,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_outward_integral_ml_mm,0.7258777090510761,2.1175124034678583,0.31879876919496475,100
lesion_plus_mass_effect,me_mass_effect_3_20mm_radial_mm_median,1.7772740660994453,1.3529142312985458,1.7196148042403219,100
lesion_plus_mass_effect,right_language_lesion_ml,-0.33473746141484717,0.48429245450435476,-0.47093062123513163,100
lesion_plus_mass_effect_and_registration_qc,age_at_stroke,-2.436525674930442,0.7157413630539142,-2.4388389114359725,100
lesion_plus_mass_effect_and_registration_qc,left_language_lesion_ml,-6.593518680409363,0.8329017280757125,-6.58972882567816,100
lesion_plus_mass_effect_and_registration_qc,lesion_laterality_index,-1.412240575699425,0.3091940172624149,-1.4440245714308473,100
lesion_plus_mass_effect_and_registration_qc,lesion_volume_ml,-10.928815873597621,1.686607934775735,-11.007981636321265,100
lesion_plus_mass_effect_and_registration_qc,log1p_wab_days,1.5152263147411305,0.7208327549329208,1.6282188972590053,100
lesion_plus_mass_effect_and_registration_qc,me_contralateral_affine_fit_rmse_mm,-1.8415909177314214,0.8391174233001382,-1.9781835431013937,100
lesion_plus_mass_effect_and_registration_qc,me_mass_effect_3_20mm_inward_integral_ml_mm,1.06581364020719,1.5720524646641123,0.8203410449694892,100
lesion_plus_mass_effect_and_registration_qc,me_mass_effect_3_20mm_logjac_compression_integral_ml,-4.5113105872367445,1.2758889693955615,-4.396915987175109,100
lesion_plus_mass_effect_and_registration_qc,me_mass_effect_3_20mm_logjac_expansion_integral_ml,-4.482701894247254,1.6880271310159938,-4.26209821455118,100
lesion_plus_mass_effect_and_registration_qc,me_mass_effect_3_20mm_magnitude_mm_median,-0.21143371191820065,1.1964364967840977,-0.08823072980961319,100
lesion_plus_mass_effect_and_registration_qc,me_mass_effect_3_20mm_magnitude_mm_p95,3.309582579737671,1.878802266526688,3.151448044967143,100
lesion_plus_mass_effect_and_registration_qc,me_mass_effect_3_20mm_mean_absolute_radial_mm,-1.13523861570733,2.387789777546573,-0.5777534127792305,100
lesion_plus_mass_effect_and_registration_qc,me_mass_effect_3_20mm_outward_integral_ml_mm,0.4708018697773907,1.9892908150936675,0.15347174427766958,100
lesion_plus_mass_effect_and_registration_qc,me_mass_effect_3_20mm_radial_mm_median,1.3023605182714504,1.2056189970925415,1.2496062474825076,100
lesion_plus_mass_effect_and_registration_qc,me_registration_sensitivity_3_20mm_mm_median,-0.7385265803829193,0.7021539858778059,-0.7668397894821177,100
lesion_plus_mass_effect_and_registration_qc,right_language_lesion_ml,-0.41071541781694826,0.5018017881262957,-0.5148445358958862,100
lesion_plus_uncertainty,age_at_stroke,-3.325157093687717,0.7413236526298168,-3.303096125796838,100
lesion_plus_uncertainty,left_language_lesion_ml,-4.912947201001618,1.262839438023223,-4.703235321409167,100
lesion_plus_uncertainty,lesion_laterality_index,-2.117458184985487,0.5296694892161063,-2.104580471751521,100
lesion_plus_uncertainty,lesion_volume_ml,-34.42430710793502,33.22677364244089,-32.15533291382639,100
lesion_plus_uncertainty,log1p_wab_days,0.8242128178155803,0.7398548609871015,0.8202948511262698,100
lesion_plus_uncertainty,right_language_lesion_ml,-0.005428031247586087,0.6271544628354202,-0.14993763185630515,100
lesion_plus_uncertainty,unc_boundary_mean_entropy,0.46598887166445147,0.5835026285341345,0.4554233255116114,100
lesion_plus_uncertainty,unc_candidate_mean_entropy,-3.4933121289203206,1.1833606623786468,-3.2172669526786537,100
lesion_plus_uncertainty,unc_entropy_mass_ml,424.54469174931813,490.3533137717096,224.9362038495707,100
lesion_plus_uncertainty,unc_expected_left_lesion_volume_ml,-352.94881232469737,333.909198341696,-371.85690675441947,100
lesion_plus_uncertainty,unc_expected_lesion_volume_ml,-108.68925007387784,169.21823857891872,-14.761841697791692,100
lesion_plus_uncertainty,unc_expected_right_lesion_volume_ml,-0.919803424346687,2.1867411286592353,-0.4327847203114793,100
lesion_plus_uncertainty,unc_high_uncertainty_volume_ml,12.39488403371078,19.311532003928914,4.952457913558089,100
lesion_plus_uncertainty,unc_left_entropy_mass_ml,-451.81097625135277,497.58939276357853,-269.2307442449661,100
lesion_plus_uncertainty,unc_maximum_lesion_probability,-3.8331970522455707,1.890070849435379,-3.7976051523899126,100
lesion_plus_uncertainty,unc_right_entropy_mass_ml,-5.58543372668071,5.583381131406453,-4.286561561150901,100
lesion_plus_uncertainty,unc_volume_p25_ml,314.63448810116176,293.07411390474334,319.5777119011012,100
lesion_plus_uncertainty,unc_volume_p75_ml,180.37812755095055,177.57148711630987,195.31772664788735,100
lesion_standard,age_at_stroke,-3.146153452188762,0.7414273002977307,-3.0531705161421927,100
