repeat,model,n,mae,rmse,r2,pearson_r
1,intercept_only,210,24.18437188208617,27.75413754215066,-0.014280072852474568,-0.15933234505955465
1,clinical_only,210,24.184296493184323,27.7571004500904,-0.014496644445684437,-0.16211218277598416
1,lesion_standard,210,16.73845184519634,20.77899766716456,0.43147232616936215,0.6594287622011494
1,lesion_plus_mass_effect,210,16.14995705463842,20.433405563686563,0.45022633740091844,0.6720550928049921
1,lesion_plus_mass_effect_and_registration_qc,210,16.2185331841564,20.800694039849642,0.4302844509624204,0.6594213300792828
1,lesion_plus_uncertainty,210,16.2746123175031,20.67283185249479,0.43726702435412856,0.6658802923093867
1,lesion_uncertainty_plus_mass_effect,210,15.881878656586036,20.19233423503287,0.4631221663749836,0.6815439236282553
1,lesion_plus_hodge,210,16.794358796785918,20.93329746255015,0.42299747934335596,0.652756904322569
1,lesion_plus_mass_effect_plus_hodge,210,16.397245174269308,20.62443537621837,0.4398987309972101,0.6643506692931289
2,intercept_only,210,24.315874149659862,27.830855265159375,-0.01989514937195902,-0.18806688820480374
2,clinical_only,210,24.336950782203314,27.91589689271785,-0.02613757754874113,-0.15706108803612356
2,lesion_standard,210,16.282268062020705,20.114206612564622,0.4672686748482774,0.6838832526755744
2,lesion_plus_mass_effect,210,15.585819096084574,19.670702912172,0.49050235697603783,0.7003675953781823
2,lesion_plus_mass_effect_and_registration_qc,210,15.493415786244384,19.85768424833234,0.4807701850099304,0.6936969926020419
2,lesion_plus_uncertainty,210,15.167905681693512,19.444833411401948,0.5021358277212569,0.7087266632478549
2,lesion_uncertainty_plus_mass_effect,210,15.152005696226077,19.229863646061343,0.5130831202596282,0.7163743062687512
2,lesion_plus_hodge,210,16.16812648706001,20.023671171512945,0.47205360330443746,0.6871141921662718
2,lesion_plus_mass_effect_plus_hodge,210,15.595405439341466,19.723154342055615,0.4877816093452044,0.6986982866903088
3,intercept_only,210,24.090582766439912,27.670257252560965,-0.008158496066227316,-0.12043252470419286
3,clinical_only,210,24.111225344562165,27.80268143925361,-0.017831267117508043,-0.11499491916301818
3,lesion_standard,210,16.161741612969433,20.069773825590847,0.4696197089520546,0.6854421089429639
3,lesion_plus_mass_effect,210,16.20285479880529,20.336193240742368,0.4554450115365274,0.675431900697532
3,lesion_plus_mass_effect_and_registration_qc,210,16.044969711177355,20.330893758082997,0.4557287896916551,0.6761424556607906
3,lesion_plus_uncertainty,210,15.965299286337883,20.31527588813512,0.4565646695265907,0.679168721671339
3,lesion_uncertainty_plus_mass_effect,210,16.03649437304988,20.055193378968767,0.4703900586888319,0.6867048430297472
3,lesion_plus_hodge,210,16.158025398921772,20.1759070985669,0.463995347049603,0.6815023562845012
3,lesion_plus_mass_effect_plus_hodge,210,16.269774822785426,20.452235686545198,0.44921259785651657,0.6710937509950474
4,intercept_only,210,24.059648526077094,27.596454398191696,-0.0027876932931800713,-0.07039814761679238
4,clinical_only,210,24.082453539203318,27.6900641052693,-0.009602327508570818,-0.07668575866917687
4,lesion_standard,210,16.521757436482535,20.681485487860304,0.436795806357678,0.6625765246456536
4,lesion_plus_mass_effect,210,16.31812933100117,20.508125760643864,0.44619819781922854,0.6696726892802972
4,lesion_plus_mass_effect_and_registration_qc,210,16.380871869992824,20.702108344709192,0.43567203113896014,0.6631041352306829
4,lesion_plus_uncertainty,210,15.947040410503712,20.548563496058293,0.4440120819706521,0.6727476107693525
4,lesion_uncertainty_plus_mass_effect,210,15.822472919676857,20.202939381123993,0.46255807477782607,0.6812205361665724
4,lesion_plus_hodge,210,16.36995991069444,20.622419762256186,0.44000820238410976,0.6651126542847087
4,lesion_plus_mass_effect_plus_hodge,210,16.314463266719198,20.400497650981336,0.45199572774293906,0.6741169684139885
