reference_model,comparison_model,n_subjects,mean_mae_advantage_points,bootstrap_ci025,bootstrap_ci975,mean_advantage_ci_excludes_zero,subjects_improved_fraction,wilcoxon_statistic,p_value,p_value_holm,comparison_context
lesion_standard,clinical_only,210,-7.807158550359111,-9.881404933256595,-5.712293123747138,True,0.319047619047619,5248.0,3.786879892294072e-11,3.0295039138352575e-10,versus_lesion_standard
lesion_standard,lesion_plus_mass_effect,210,0.3778284598289175,-0.4978300431485748,1.1670265372491992,False,0.6047619047619047,8852.0,0.011592831827994806,0.046371327311979224,versus_lesion_standard
lesion_standard,lesion_plus_mass_effect_and_registration_qc,210,0.42663668822982437,-0.4446106647528185,1.2643730234788595,False,0.5857142857142857,8915.0,0.014173204323095503,0.046371327311979224,versus_lesion_standard
lesion_standard,lesion_plus_uncertainty,210,0.7118274770181783,-0.09562173797019223,1.4866651661581085,False,0.6190476190476191,8346.0,0.0019467442608944938,0.011680465565366963,versus_lesion_standard
lesion_standard,lesion_uncertainty_plus_mass_effect,210,0.6517668611571613,-0.1431596687596379,1.4333391943685068,False,0.5761904761904761,8684.0,0.006630417989848046,0.03315208994924023,versus_lesion_standard
lesion_standard,intercept_only,210,-7.715234757556841,-9.749782378836793,-5.682004866950923,True,0.30952380952380953,5297.0,5.5046103489158586e-11,3.853227244241101e-10,versus_lesion_standard
lesion_standard,lesion_plus_hodge,210,-0.05617342085031163,-0.4155418281048001,0.28802014521597386,False,0.5476190476190477,10723.0,0.6876132506611445,0.6876132506611445,versus_lesion_standard
lesion_standard,lesion_plus_mass_effect_plus_hodge,210,0.30097159704364435,-0.5337200986519361,1.0788903167441846,False,0.5857142857142857,9374.0,0.05333276234165864,0.10666552468331728,versus_lesion_standard
lesion_plus_uncertainty,lesion_uncertainty_plus_mass_effect,210,-0.060060615861017075,-0.7651194904324375,0.6058923141242294,False,0.5285714285714286,10765.0,0.7229963246653959,0.7229963246653959,deformation_after_uncertainty
lesion_plus_mass_effect,lesion_plus_mass_effect_plus_hodge,210,-0.07685686278527325,-0.3544364885839971,0.20668920089222603,False,0.49047619047619045,10581.0,0.5733249220879009,0.5733249220879009,hodge_after_deformation
