model,n_subjects,mean_absolute_error,bootstrap_ci025,bootstrap_ci975,median_subject_absolute_error,subject_absolute_error_q25,subject_absolute_error_q75,bootstrap_samples
intercept_only,210,24.13804835600907,22.276873949829934,25.972814083049887,24.702068452380956,12.973379464285719,33.882580357142864,5000
clinical_only,210,24.22997214881134,22.361308696685455,25.9938840183457,24.87259000608286,12.608395980037326,33.99016501375281,5000
lesion_standard,210,16.42281359845223,14.86518325316064,18.089382896221448,14.006278662767464,7.72177729217905,21.728381773695475,5000
lesion_plus_mass_effect,210,16.04498513862331,14.461242907418212,17.721199797051938,14.155029893556971,6.4696421543429325,22.17310569969903,5000
lesion_plus_mass_effect_and_registration_qc,210,15.996176910222404,14.333983329420944,17.68039607983906,14.629639507645877,5.717094624562472,22.132787888613045,5000
lesion_plus_uncertainty,210,15.710986121434049,14.13625435259183,17.36042426641654,13.370811404135393,6.473111893817493,20.721765040445142,5000
lesion_uncertainty_plus_mass_effect,210,15.771046737295068,14.228833404689134,17.463680881547077,14.816554399723293,6.521789933307211,21.59471240706948,5000
lesion_plus_hodge,210,16.47898701930254,14.881761866039145,18.145362809310065,14.30433451696694,7.764573208990779,22.357208035075544,5000
lesion_plus_mass_effect_plus_hodge,210,16.121842001408584,14.574094223264984,17.786726095979983,13.907994134316304,6.456731449356521,22.032633598366736,5000
