metric,column,n,minimum,q1,median,q3,maximum
Brain-mask Dice,registration_brain_mask_dice,214,0.866798472137515,0.9631006064291031,0.9714662693668046,0.976388985017886,0.9830009856050352
Cycle RMSE (mm),registration_cycle_rmse_mm,214,0.0501714951377146,0.07007235344481122,0.0749175130973683,0.0794542060872675,0.0938874437927727
Cycle maximum (mm),registration_cycle_maximum_mm,214,0.2924529622766841,0.41471420140404575,0.4831039569875767,0.5538365546875976,0.8659363610103753
Intensity Pearson r,registration_intensity_pearson_r,214,0.4719802789649042,0.6547010817105523,0.6994565946469047,0.723609433329071,0.779120700413098
Raw minimum Jacobian,registration_raw_warp_minimum_jacobian,214,0.1158489808440208,0.2718974202871322,0.3110567480325699,0.34666411578655243,0.4449577629566192
Raw folding fraction,registration_raw_warp_folding_fraction,214,0.0,0.0,0.0,0.0,0.0
Normalized-field folding fraction,normalized_field_folding_fraction,214,0.001745489368185,0.00616011277808575,0.007730718624034,0.009569453622285076,0.0217795874659424
Affine-fit RMSE (mm),contralateral_affine_fit_rmse_mm,214,2.205299695705006,2.8571350831302516,3.0364413036782323,3.299518585637655,4.500086474733827
